Latitude,Longitude,X,Y,Address
34.52188,81.306704,14191,6427,"东汝乡, 日土县 རུ་ཐོག་རྫོང་, 阿里地区 མངའ་རིས་ས་ཁུལ་, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
15.681525,75.152198,13117,2772,"Savadatti taluku, Belagavi, Karnataka, India"
24.279676,75.619507,13198,4370,"MD2204, Bardiya Amra, Khajuri Runda, Garoth Tahsil, Mandsaur, Madhya Pradesh, 458880, India"
24.952994,94.036864,16413,4500,"Uyumpok, Sawombung, Imphal East, Manipur, 795114, India"
19.582615,74.360302,12978,3486,"Sangamner, Ahmednagar, Maharashtra, India"
36.928591,82.776263,14447,6944,"民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
10.636373,69.366375,12107,1867,Address not found
11.179825,86.195935,15044,1964,Address not found
30.970302,80.242639,14005,5690,"达巴乡, 札达县 རྩ་མདའ་རྫོང་།, 阿里地区 མངའ་རིས་ས་ཁུལ་, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
9.842303,79.066959,13800,1726,"Ettuseri, Marungur, Tiruvadanai, Ramanathapuram, Tamil Nadu, 623406, India"
36.88752,83.344316,14546,6935,"民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
36.161273,92.962611,16225,6778,"郭勒木德镇, 格尔木市 ན་གོར་མོ་གྲོང་ཁྱེར།, 海西蒙古族藏族自治州 མཚོ་ནུབ་སོག་རིགས་ཆ་བོད་རིགས་རང་སྐྱོང་ཁུལ།, 青海省, 中国"
